agenda;fecha;importe;c1_punto;c1_tipo;c1_letra;c1_numero;c2_punto;c2_tipo;c2_letra;c2_numero
00000207;2026-01-05;562998.46;00003;02;A;00000893;00003;05;;00100814
00000207;2026-01-05;750000.0;00003;02;A;00000893;00003;05;;00100816
00000207;2026-01-05;429408.83;00003;02;A;00000893;00003;05;;00100819
00000207;2026-01-05;24333.0;00003;02;A;00000910;00003;05;;00100819
00000207;2026-01-05;300000.0;00003;02;A;00000910;00003;05;;00100822
00000207;2026-01-05;387356.29;00003;02;A;00000910;00003;05;;00007665
00000207;2026-01-05;612643.71;00003;02;A;00000914;00003;05;;00007665
00000207;2026-01-05;6458.84;00003;02;A;00000914;00003;05;;00007675
00000207;2026-01-05;308694.52;00003;02;A;00000924;00003;05;;00007675
00000207;2026-01-05;184846.64;00003;02;A;00000955;00003;05;;00007675
00000207;2026-01-05;750000.0;00003;02;A;00000955;00003;05;;00100835
00000207;2026-01-05;1000000.0;00003;02;A;00000955;00003;05;;00100846
00000207;2026-01-05;860750.69;00003;02;A;00000955;00003;05;;00100857
00000207;2026-01-05;39249.31;00003;02;A;00000973;00003;05;;00100857
00000207;2026-01-05;800000.0;00003;02;A;00000973;00003;05;;00100856
00000207;2026-01-05;186145.41;00003;02;A;00000973;00003;05;;00007695
00000207;2026-01-05;1981354.59;00003;02;A;00000994;00003;05;;00007695
00000207;2026-01-05;1000000.0;00003;02;A;00000994;00003;05;;00007648
00000207;2026-01-05;394333.93;00003;02;A;00000994;00003;05;;00100896
00000207;2026-01-05;405666.07;00003;02;A;00001026;00003;05;;00100896
00000207;2026-01-05;244602.68;00003;02;A;00001026;00003;05;;00007760
00000207;2026-01-05;373400.68;00003;02;A;00001033;00003;05;;00007760
00000207;2026-01-05;381996.64;00003;02;A;00001041;00003;05;;00007760
00000207;2026-01-05;900000.0;00003;02;A;00001041;00003;05;;00100914
00000207;2026-01-05;1400000.0;00003;02;A;00001041;00003;05;;00007770
00000207;2026-01-05;1500000.0;00003;02;A;00001041;00003;05;;00100924
00000207;2026-01-05;45002.11;00003;02;A;00001041;00003;05;;00100942
00000207;2026-01-05;1354997.89;00003;02;A;00001058;00003;05;;00100942
00000207;2026-01-05;39079.61;00003;02;A;00001058;00003;05;;00007786
00000207;2026-01-05;443920.39;00003;02;A;00001081;00003;05;;00007786
00000007;2026-01-08;0.02;00003;02;A;00001020;00003;10;;00000118
00000007;2026-01-08;0.0;00003;02;A;00001082;00003;10;;00000119
00000031;2026-01-08;0.01;00003;02;A;00000904;00003;10;;00000120
00000067;2026-01-12;980312.96;00003;02;A;00001143;00003;04;A;00000145
00000242;2026-01-14;52902.61;00003;02;A;00001077;00003;04;A;00000125
00000242;2026-01-14;77303.43;00003;02;A;00001077;00003;04;A;00000141
00000014;2026-01-14;65184.49;00003;02;A;00000165;00003;04;A;00000028
00000014;2026-01-14;90079.5;00003;02;A;00000972;00003;04;A;00000127
