archivo;punto;tipo_cod;tipo;letra;numero;agenda;tiporeg;anulado;fecha;vencimiento;importe;tc;importe_divisa;divisa;moneda_cc;cae;fecha_recepcion;cobrador;leyenda
ac1h1225.fac;00003;03;ND;A;00000004;00000233;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;03;ND;A;00000005;00000233;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000006;00000014;0;0;2025-12-01;;;;;;;71188490634803.0;;;
ac1h1225.fac;00003;02;FA;A;00000007;00000004;0;0;2025-12-01;;;;;;;71138910403948.0;;;
ac1h1225.fac;00003;04;NC;A;00000007;00000039;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;A;00000023;00000014;0;0;2025-12-01;;;;;;;71168780156789.0;;;
ac1h1225.fac;00003;04;NC;A;00000024;00000039;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000028;00000014;0;0;2025-12-01;;;;;;;71458986786164.0;;;
ac1h1225.fac;00003;04;NC;A;00000029;00000014;0;0;2025-12-01;;;;;;;71458012297901.0;;;
ac1h1225.fac;00003;04;NC;A;00000032;00000021;0;0;2025-12-01;;;;;;;71518963738707.0;;;
ac1h1225.fac;00003;02;FA;B;00000040;00000024;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000042;00000014;0;0;2025-12-01;;;;;;;72168018706122.0;;;
ac1h1225.fac;00003;04;NC;B;00000043;00000188;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;B;00000051;00000024;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;B;00000051;00000190;0;0;2025-12-01;;;;;;;75268785781969.0;;;
ac1h1225.fac;00003;02;FA;B;00000052;00000024;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;B;00000052;00000258;0;0;2025-12-01;;;;;;;75398056540762.0;;;
ac1h1225.fac;00003;04;NC;B;00000053;00000281;0;0;2025-12-01;;;;;;;75408996888086.0;;;
ac1h1225.fac;00003;04;NC;B;00000054;00000188;0;0;2025-12-01;;;;;;;75508865281369.0;;;
ac1h1225.fac;00003;02;FA;A;00000068;00000013;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000069;00000173;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;02;FA;B;00000077;00000024;0;0;2025-12-01;;;;;;;;;;
ac1h1225.fac;00003;04;NC;A;00000081;00000173;0;0;2025-12-01;;;;;;;73178694950475.0;;;
ac1h1225.fac;00003;02;FA;B;00000083;00000024;0;0;2025-12-01;;;;;;;;;;
