estado;punto;tipo_cod;tipo;letra;numero;agenda;fecha;vencimiento;importe;cancelado;moneda_cod;importe_moneda;cancelado_moneda
0x9d;00003;02;FA;A;00000007;00000004;2021-03-29;2021-03-29;83549.43;84045.4;9;859.12;859.12
0x9d;00003;02;FA;A;00000023;00000014;2021-04-16;2021-04-16;55256.79;55256.79;9;562.41;231.88
0x9d;00003;02;FA;A;00000068;00000013;2021-06-16;2021-06-16;62606.17;62606.17;9;624.5;0.0
0x9d;00003;02;FA;A;00000102;00000094;2021-08-13;2021-08-13;16638.13;16638.13;9;162.72;104.74
0x9d;00003;02;FA;A;00000118;00000013;2021-08-25;2021-08-25;51532.48;51532.48;9;503.99;0.0
0x9d;00003;02;FA;A;00000146;00000007;2021-10-12;2021-10-12;140557.14;140557.14;9;1348.27;1051.46
0x9d;00003;02;FA;A;00000169;00000014;2021-11-10;2021-11-10;73604.49;73604.49;9;699.33;544.88
0x9d;00003;02;FA;A;00000254;00000011;2022-03-16;2022-03-16;27008.65;27008.65;9;235.88;0.0
0x9d;00003;02;FA;A;00000262;00000005;2022-04-20;2022-04-20;93220.39;93220.38;9;785.01;625.64
0x9d;00003;02;FA;A;00000277;00000021;2022-04-30;2022-04-30;383853.64;383853.64;9;3192.13;2097.56
0x9d;00003;02;FA;A;00000293;00000011;2022-05-16;2022-05-16;264871.99;264871.99;9;2153.43;1765.81
0x9d;00003;02;FA;A;00000294;00000011;2022-05-16;2022-05-16;145680.2;145680.2;9;1184.39;0.0
0x9d;00003;02;FA;A;00000299;00000021;2022-05-26;2022-05-26;286713.55;286713.55;9;2302.92;1566.74
0x9d;00003;02;FA;A;00000307;00000011;2022-06-15;2022-06-15;17661.3;17661.3;9;138.52;0.0
0x9d;00003;02;FA;A;00000343;00000011;2022-08-09;2022-08-09;309756.08;309756.08;9;2212.54;2065.04
0x9d;00003;02;FA;A;00000397;00000021;2022-10-25;2022-10-25;584534.41;584534.41;9;3630.65;3453.67
0x9d;00003;02;FA;A;00000414;00000173;2022-11-15;2022-11-15;594099.83;594099.83;9;3525.82;3000.09
0x9d;00003;02;FA;A;00000502;00000013;2023-04-03;2023-04-03;289.94;289.94;9;289.94;1.34
0x9d;00003;02;FA;A;00000519;00000173;2023-04-20;2023-04-20;88851.84;88851.84;9;396.66;94.82
0x9d;00003;02;FA;A;00000541;00000159;2023-05-22;2023-05-22;316517.22;316517.22;9;1302.54;1199.44
0x9d;00003;02;FA;A;00000543;00000021;2023-05-29;2023-05-29;328614.36;328614.36;9;1330.42;1177.83
0x9d;00003;02;FA;A;00000590;00000192;2023-08-22;2023-08-22;469674.65;469674.65;9;1621.13;1286.78
0x9d;00003;02;FA;A;00000674;00000013;2023-12-29;2023-12-29;47808.0;47808.0;9;119.52;0.0
0x9d;00003;02;FA;A;00000677;00000013;2024-01-09;2024-01-09;60784.0;60784.0;9;151.96;37.38
0x9d;00003;02;FA;A;00000804;00000207;2024-08-06;2024-08-06;2995297.38;2995297.38;9;3138.08;3079.51
0x9d;00003;02;FA;A;00000870;00000028;2024-11-20;2024-11-20;203638.38;203638.38;1;199.06;0.0
0x9d;00003;02;FA;A;00000886;00000028;2024-12-20;2024-12-20;412556.62;412556.62;1;394.98;0.0
0x9d;00003;02;FA;A;00000889;00000165;2024-12-27;2024-12-27;249854.23;249854.23;1;237.73;171.13
0x9d;00003;02;FA;A;00000897;00000028;2025-01-08;2025-01-08;77024.64;77024.64;1;72.94;0.0
0x9d;00003;02;FA;A;00000936;00000028;2025-03-12;2025-03-12;562329.91;562329.91;1;517.68;0.0
0x9d;00003;02;FA;A;00000959;00000028;2025-04-21;2025-04-21;728634.87;728634.87;1;663.9;0.0
0x9d;00003;02;FA;A;00000976;00000165;2025-05-13;2025-05-13;497633.52;497633.52;1;432.72;340.84
0x9d;00003;02;FA;A;00000984;00000028;2025-05-19;2025-05-19;559279.5;559279.5;1;486.33;0.0
0x9d;00003;02;FA;A;00001035;00000005;2025-07-28;2025-07-28;324959.25;163531.5;1;254.87;128.26
0x9d;00003;02;FA;A;00001039;00000242;2025-08-07;2025-08-07;3356797.2;3356797.2;1;2495.76;2386.33
0x9d;00003;02;FA;A;00001041;00000207;2025-08-07;2025-08-07;4226998.75;4226998.75;1;3142.75;0.0
0x9d;00003;02;FA;A;00001047;00000080;2025-08-07;2025-08-07;236841.05;236841.05;1;176.09;172.25
0x9d;00003;02;FA;A;00001050;00000139;2025-08-27;2025-08-27;7662861.52;6561601.52;1;5634.46;4637.17
0x9d;00003;02;FA;A;00001054;00000007;2025-09-08;2025-09-08;2012519.52;2012491.0;1;1412.29;1412.28
0x9d;00003;02;FA;A;00001055;00000242;2025-09-09;2025-09-09;4848106.5;4848106.5;1;3402.18;3371.25
0x9d;00003;02;FA;A;00001058;00000207;2025-09-09;2025-09-09;1394077.5;1394077.5;1;978.3;0.0
0x9d;00003;02;FA;A;00001064;00000080;2025-09-16;2025-09-16;438731.2;438731.19;1;296.44;296.44
0x9d;00003;02;FA;A;00001077;00000242;2025-10-07;2025-10-07;2911236.75;2730206.04;1;2000.85;1880.8
0x9d;00003;02;FA;A;00001081;00000207;2025-10-09;2025-10-09;3370068.78;3370068.78;1;2277.07;1978.29
0x9d;00003;02;FA;A;00001092;00000165;2025-10-15;2025-10-15;253293.4;253293.4;1;180.28;177.75
0x9d;00003;02;FA;A;00001102;00000207;2025-11-12;2025-11-12;3436072.01;3436072.01;1;2411.28;2404.43
0x9d;00003;02;FA;A;00001103;00000007;2025-11-12;2025-11-12;1502860.58;1502860.58;1;1054.64;1052.59
0x9d;00003;02;FA;A;00001105;00000165;2025-11-12;2025-11-12;1569441.28;1569441.28;1;1101.36;1074.96
0x9d;00003;02;FA;A;00001109;00000139;2025-11-13;2025-11-13;11817185.54;9647078.09;1;8234.97;6722.7
0x9d;00003;02;FA;A;00001111;00000242;2025-11-13;2025-11-13;2761675.15;0.0;1;1924.51;0.0
0x9d;00003;02;FA;A;00001114;00000139;2025-11-13;2025-11-13;7095654.55;6819765.66;1;4944.71;4752.45
0x9d;00003;02;FA;A;00001124;00000004;2025-12-11;2025-12-11;2440550.6;2440550.6;1;1671.61;1665.9
0x9d;00003;02;FA;A;00001126;00000207;2025-12-11;2025-12-11;3254703.83;2874699.51;1;2229.25;2013.17
0x9d;00003;02;FA;A;00001129;00000012;2025-12-11;2025-12-11;149650.0;149650.0;1;102.5;101.46
0x9d;00003;02;FA;A;00001132;00000213;2025-12-11;2025-12-11;134699.6;134699.6;1;92.26;91.01
0x9d;00003;02;FA;A;00001138;00000014;2025-12-11;2025-12-11;140057.8;140057.8;1;95.93;95.6
0x9d;00003;02;FA;A;00001149;00000015;2026-01-12;2026-01-12;75155.6;0.0;1;50.44;0.0
0x9d;00003;02;FA;A;00001154;00000295;2026-01-12;2026-01-12;1556891.46;1556891.46;1;1044.89;1033.32
0x9d;00003;02;FA;A;00001159;00000026;2026-01-13;2026-01-13;2989112.1;2989112.1;1;2006.12;2005.84
0x9d;00003;02;FA;A;00001173;00000007;2026-02-06;2026-02-06;962771.0;962771.0;1;663.98;646.16
0x9d;00003;02;FA;A;00001174;00000295;2026-02-10;2026-02-10;1138717.5;1138717.5;1;799.1;763.13
0x9d;00003;02;FA;A;00001175;00000233;2026-02-10;2026-02-10;76237.5;76237.5;1;53.5;53.13
0x9d;00003;02;FA;A;00001176;00000014;2026-02-10;2026-02-10;421785.75;421785.75;1;295.99;292.14
0x9d;00003;02;FA;A;00001182;00000233;2026-02-11;2026-02-11;75828.0;75828.0;1;53.4;52.84
