rc_punto;rc_numero;rc_agenda;punto;tipo_cod;tipo;letra;numero;importe;a_cuenta;moneda_pago;fecha_cpte
01900;00007793;00000043;01900;02;FA;B;19211659;334.1;0.0;0.0;2025-09-15
01900;00001064;00000243;01900;02;FA;B;19211799;567.45;0.0;0.0;2025-12-16
01900;00007795;00000252;01900;02;FA;B;19211773;329.22;0.0;0.0;2025-12-12
01900;00007795;00000252;01900;02;FA;B;19211790;290.78;0.0;0.0;2025-12-22
00003;00007794;00000007;00003;02;FA;A;00001082;96512.43;0.0;65.12;2025-10-09
00003;00007794;00000007;00003;02;FA;A;00001103;1398487.57;0.0;981.4;2025-11-12
01900;00001065;00000136;01900;02;FA;A;00000173;674.47;0.0;0.0;2025-12-12
01900;00001066;00000214;01900;02;FA;B;19211767;143.68;0.0;0.0;2025-12-12
00003;00007796;00000017;00003;02;FA;B;00000202;358048.88;0.0;242.75;2025-12-23
00003;00007796;00000017;00003;02;FA;B;00000204;308424.6;0.0;208.4;2025-12-30
00003;00007797;00000207;00003;02;FA;A;00001081;2000000.0;0.0;1351.35;2025-10-09
00003;00100959;00000013;00003;02;FA;A;00001140;296534.0;0.0;201.04;2025-12-23
00003;00100960;00000292;00003;02;FA;A;00001142;91671.2;0.0;61.94;2025-12-31
00003;00100961;00000258;00003;02;FA;B;00000205;429333.2;0.0;290.09;2025-12-31
01900;00001067;00000293;01900;02;FA;B;19211795;265.0;0.0;0.0;2025-12-29
01900;00001068;00000243;01900;02;FA;B;19211399;9.02;0.0;0.0;2025-01-09
01900;00001068;00000243;01900;02;FA;B;19211724;470.0;0.0;0.0;2025-10-21
01900;00001069;00000111;01900;02;FA;B;19211802;102.19;0.0;0.0;2026-01-08
00003;00100962;00000242;00003;02;FA;A;00001077;400000.0;0.0;268.46;2025-10-07
01900;00001070;00000122;01900;02;FA;B;19211765;553.33;0.0;0.0;2025-11-03
01900;00007717;00000191;01900;02;FA;B;19211486;63.54;0.0;0.0;2025-04-21
01900;00007717;00000191;01900;02;FA;B;19211509;1043.96;0.0;0.0;2025-05-13
01900;00007717;00000191;01900;02;FA;B;19211581;304.75;0.0;0.0;2025-07-14
01900;00007717;00000191;01900;02;FA;B;19211618;209.75;0.0;0.0;2025-08-07
00003;00100963;00000293;00003;02;FA;B;00000206;79742.4;0.0;53.88;2025-12-31
01900;00007908;00000288;01900;02;FA;B;19211817;100.32;0.0;0.0;2026-01-15
