rc_punto;rc_numero;rc_agenda;forma_cod;medio;importe;banco;cheque_nro;vto;cuit_emisor;propio_terceros
01900;00007793;00000043;6;transferencia;334.1;;;;;P
01900;00001064;00000243;6;transferencia;567.45;;;;;P
01900;00007795;00000252;6;transferencia;620.0;;;;;P
00003;00007794;00000007;6;transferencia;1495000.0;;;;;P
01900;00001065;00000136;6;transferencia;674.47;;;;;P
01900;00001066;00000214;6;transferencia;143.68;;;;;P
00003;00007796;00000017;6;transferencia;666473.48;;;;;P
00003;00007797;00000207;6;transferencia;2000000.0;;;;;P
00003;00100959;00000013;6;transferencia;296534.0;;;;;P
00003;00100960;00000292;6;transferencia;91671.2;;;;;P
00003;00100961;00000258;6;transferencia;429333.2;;;;;P
01900;00001067;00000293;6;transferencia;265.0;;;;;P
01900;00001068;00000243;6;transferencia;479.02;;;;;P
01900;00001069;00000111;6;transferencia;102.19;;;;;P
00003;00100962;00000242;6;transferencia;400000.0;;;;;P
01900;00001070;00000122;6;transferencia;553.33;;;;;P
01900;00007717;00000191;6;transferencia;1622.0;;;;;P
00003;00100963;00000293;6;transferencia;79742.4;;;;;P
01900;00007908;00000288;6;transferencia;100.32;;;;;P
01900;00007799;00000216;6;transferencia;2478.0;;;;;P
00003;00007800;00000207;6;transferencia;800000.0;;;;;P
00003;00100964;00000014;6;transferencia;223425.5;;;;;P
01900;00001071;00000066;6;transferencia;410.0;;;;;P
01900;00001072;00000112;6;transferencia;619.72;;;;;P
00003;00100965;00000067;6;transferencia;3155322.67;;;;;P
01900;00001073;00000061;6;transferencia;9977.33;;;;;P
00003;00100966;00000213;6;transferencia;132058.7;;;;;P
01900;00001074;00000122;6;transferencia;385.34;;;;;P
00003;00100967;00000026;6;transferencia;2545255.18;;;;;P
01900;00007851;00000043;6;transferencia;411.0;;;;;P
01900;00001075;00000297;6;transferencia;542.0;;;;;P
01900;00001076;00000296;6;transferencia;302.76;;;;;P
01900;00001077;00000296;6;transferencia;126.14;;;;;P
00003;00100968;00000281;6;transferencia;70655.2;;;;;P
01900;00001078;00000206;6;transferencia;302.18;;;;;P
01900;00007909;00000300;6;transferencia;233.0;;;;;P
01900;00007910;00000006;6;transferencia;724.0;;;;;P
01900;00007993;00000296;6;transferencia;222.0;;;;;P
01900;00007921;00000006;6;transferencia;1031.0;;;;;P
01900;00007913;00000063;6;transferencia;4813.68;;;;;P
01900;00007852;00000046;6;transferencia;720.01;;;;;P
00003;00007853;00000207;6;transferencia;634629.0;;;;;P
00003;00100969;00000233;6;transferencia;144423.78;;;;;P
00003;00100970;00000298;6;transferencia;1566572.7;;;;;P
01900;00001079;00000122;6;transferencia;213.95;;;;;P
00003;00100971;00000005;6;transferencia;455082.0;;;;;P
01900;00001080;00000048;6;transferencia;92.8;;;;;P
01900;00001081;00000050;6;transferencia;1748.42;;;;;P
01900;00001082;00000301;6;transferencia;246.0;;;;;P
01900;00001083;00000243;6;transferencia;614.33;;;;;P
00003;00100972;00000027;6;transferencia;475733.57;;;;;P
01900;00001084;00000214;6;transferencia;216.39;;;;;P
01900;00007915;00000056;6;transferencia;3000.0;;;;;P
01900;00007854;00000058;6;transferencia;400.0;;;;;P
00003;00007916;00000007;6;transferencia;500000.0;;;;;P
01900;00007855;00000276;6;transferencia;159.41;;;;;P
01900;00007914;00000006;6;transferencia;1370.0;;;;;P
00003;00100974;00000022;6;transferencia;193700.0;;;;;P
00003;00100975;00000302;6;transferencia;204514.0;;;;;P
01900;00001085;00000144;6;transferencia;266.0;;;;;P
01900;00001086;00000240;6;transferencia;235.4;;;;;P
01900;00001087;00000243;6;transferencia;269.64;;;;;P
01900;00001088;00000299;6;transferencia;89.0;;;;;P
01900;00001089;00000301;6;transferencia;65.0;;;;;P
01900;00001101;00000296;6;transferencia;392.39;;;;;P
00003;00100987;00000165;6;transferencia;616264.98;;;;;P
01900;00001111;00000221;6;transferencia;1500.0;;;;;P
01900;00001112;00000221;6;transferencia;1500.0;;;;;P
01900;00001139;00000309;6;transferencia;2072.77;;;;;P
00003;00100973;00000028;6;transferencia;1000000.0;;;;;P
00003;00100976;00000018;6;transferencia;400138.98;;;;;P
01900;00007917;00000042;6;transferencia;1000.0;;;;;P
01900;00001090;00000181;6;transferencia;611.62;;;;;P
01900;00001091;00000045;6;transferencia;758.4;;;;;P
01900;00007920;00000006;6;transferencia;600.0;;;;;P
01900;00007919;00000202;6;transferencia;7288.9;;;;;P
01900;00007918;00000056;6;transferencia;1995.0;;;;;P
01900;00001092;00000132;6;transferencia;711.1;;;;;P
01900;00001093;00000056;6;transferencia;4350.0;;;;;P
00003;00100977;00000207;6;transferencia;1000000.0;;;;;P
00003;00007923;00000025;6;transferencia;2258468.25;;;;;P
01900;00009999;00000016;6;transferencia;647.15;;;;;P
01900;00007922;00000143;6;transferencia;264.0;;;;;P
00003;00100978;00000005;6;transferencia;571608.7;;;;;P
00003;00100979;00000018;6;transferencia;364795.6;;;;;P
01900;00001094;00000066;6;transferencia;278.0;;;;;P
00003;00101032;00000004;6;transferencia;6075668.7;;;;;P
01900;00001095;00000136;6;transferencia;2543.27;;;;;P
00003;00100981;00000175;6;transferencia;97803.6;;;;;P
00003;00100982;00000027;6;transferencia;1198027.34;;;;;P
00003;00100983;00000242;6;transferencia;400000.0;;;;;P
00003;00100984;00000067;6;transferencia;2143666.98;;;;;P
01900;00001096;00000205;6;transferencia;10236.8;;;;;P
01900;00001097;00000172;6;transferencia;160.75;;;;;P
00003;00100985;00000013;6;transferencia;641087.4;;;;;P
01900;00001098;00000299;6;transferencia;148.0;;;;;P
01900;00001099;00000214;6;transferencia;162.61;;;;;P
01900;00001100;00000296;6;transferencia;276.0;;;;;P
00003;00100986;00000207;6;transferencia;640000.0;;;;;P
01900;00001102;00000050;6;transferencia;1089.41;;;;;P
01900;00001103;00000045;6;transferencia;914.15;;;;;P
01900;00001104;00000006;6;transferencia;500.0;;;;;P
01900;00001105;00000255;6;transferencia;116.13;;;;;P
00003;00100988;00000275;6;transferencia;303052.85;;;;;P
01900;00001106;00000136;6;transferencia;1809.39;;;;;P
00003;00100989;00000285;6;transferencia;147055.2;;;;;P
01900;00007925;00000096;6;transferencia;2864.43;;;;;P
00003;00007856;00000007;6;transferencia;1200000.0;;;;;P
00003;00100990;00000014;6;transferencia;198360.25;;;;;P
01900;00001107;00000066;6;transferencia;355.87;;;;;P
01900;00001108;00000293;6;transferencia;485.0;;;;;P
01900;00001109;00000024;6;transferencia;1296.86;;;;;P
00003;00007857;00000139;6;transferencia;8557938.87;;;;;P
01900;00001110;00000200;6;transferencia;3292.27;;;;;P
00003;00100991;00000207;6;transferencia;600000.0;;;;;P
01900;00001113;00000221;6;transferencia;1000.0;;;;;P
01900;00007860;00000063;6;transferencia;4619.37;;;;;P
01900;00007859;00000046;6;transferencia;1064.19;;;;;P
01900;00007858;00000043;6;transferencia;353.36;;;;;P
01900;00001141;00000056;6;transferencia;5035.0;;;;;P
01900;00001114;00000224;6;transferencia;349.38;;;;;P
01900;00001115;00000154;6;transferencia;288.38;;;;;P
01900;00001116;00000304;6;transferencia;3521.12;;;;;P
01900;00001117;00000304;6;transferencia;3556.0;;;;;P
01900;00001118;00000304;6;transferencia;915.49;;;;;P
01900;00001119;00000056;6;transferencia;4080.0;;;;;P
01900;00007861;00000252;6;transferencia;1700.0;;;;;P
01900;00001121;00000172;6;transferencia;134.06;;;;;P
01900;00001122;00000301;6;transferencia;186.0;;;;;P
00003;00100992;00000303;6;transferencia;90560.0;;;;;P
